cpu, probability
0.0, 0.023809523809523808
10.0, 0.007936507936507936
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.0
70.0, 0.007936507936507936
80.0, 0.0
90.0, 0.0
100.0, 0.0
